mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
kepler,K03653.01,8780968,FALSE POSITIVE,2.617284592,2454965.390683,9.5545,231450.0,162.67,2013.0,5510.0,3.641,2.649,1.119,0.0
kepler,K03654.01,6960446,FALSE POSITIVE,10.14873521,2454969.02501,5.603,116125.0,71.11,1045.0,6366.0,4.239,1.296,1.059,0.0
kepler,K03655.01,8264097,FALSE POSITIVE,2.897436854,2454965.038502,3.2833,289807.0,64.69,1277.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03728.01,7515679,CONFIRMED,5.546083089,2454966.50348,2.717,2211.0,22.27,2336.0,7358.0,3.538,4.037,2.054,1.0
kepler,K03729.01,9674592,FALSE POSITIVE,6.87366398,2454969.13966,7.0845,9766.9,12.01,859.0,5662.0,4.575,0.805,0.899,0.0
kepler,K03729.02,9674592,FALSE POSITIVE,6.87366412,2454965.4575658,4.85,,,,,,,,0.0
kepler,K03730.01,10879213,FALSE POSITIVE,0.668483494,2454965.156558,2.4129,722770.0,138.76,2082.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03731.01,5650314,FALSE POSITIVE,1.070272827,2454964.835891,4.2844,9886.5,28.73,1224.0,4628.0,4.651,0.653,0.723,0.0
kepler,K07799.01,6962901,FALSE POSITIVE,0.977170246,2454965.23783,3.4842,151.1,5.08,3226.0,5596.0,3.48,3.938,1.707,0.0
kepler,K03732.01,8302302,FALSE POSITIVE,1.135930136,2454965.396556,4.5036,27247.4,52.05,1836.0,6247.0,4.489,0.954,1.022,0.0
kepler,K03807.01,10581918,FALSE POSITIVE,1.801863222,2454965.48449,7.2492,262582.0,145.36,2721.0,7479.0,3.919,2.324,1.634,0.0
kepler,K03808.01,3851949,FALSE POSITIVE,54.77145968,2454976.74319,37.1871,7224.8,34.32,777.0,5145.0,3.466,3.866,1.594,0.0
kepler,K03809.01,9097892,FALSE POSITIVE,1.674690886,2454965.172107,2.0179,527.4,29.78,1813.0,6397.0,4.331,1.157,1.042,0.0
kepler,K02078.02,9351316,CONFIRMED,161.515617,2455009.49978,6.548,2215.3,2.88,211.0,4243.0,4.637,0.641,0.651,1.0
kepler,K03884.01,4579313,FALSE POSITIVE,2.112405306,2454965.97515,2.5845,489.0,19.01,1225.0,5562.0,4.601,0.756,0.845,0.0
kepler,K03885.01,11614528,FALSE POSITIVE,1.870990236,2454965.68949,1.8432,642.6,26.1,1668.0,6384.0,4.419,1.086,1.129,0.0
kepler,K03886.01,8848288,FALSE POSITIVE,5.56648691,2454966.03305,10.931,694.9,43.67,2618.0,4694.0,2.564,12.701,2.156,0.0
kepler,K07787.01,6590307,FALSE POSITIVE,1.33253834,2454965.066,3.737,62.4,0.64,1453.0,5520.0,4.572,0.818,0.917,0.0
kepler,K03887.01,5308419,FALSE POSITIVE,1.241483276,2454965.10028,2.195,141.0,27.25,1847.0,6140.0,4.394,1.053,1.001,0.0
kepler,K03656.01,6312521,FALSE POSITIVE,3.01551943,2454965.943637,3.1713,159584.0,155.81,1837.0,5299.0,3.672,2.761,1.306,0.0
