kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass
6116035,K04769.01,FALSE POSITIVE,449.57274,153.3061,9.328,221.4,3.08,333.0,5691.0,3.842,2.079,1.096
8958359,K04770.01,FALSE POSITIVE,245.059374,301.678,9.549,165.0,1.63,356.0,6036.0,4.127,1.265,0.781
11658036,K04771.01,CANDIDATE,142.703888,212.0311,5.808,225.5,1.95,440.0,6701.0,4.326,1.289,1.292
8397947,K04772.01,CANDIDATE,3.38080537,133.94842,3.275,200.9,1.69,1362.0,6072.0,4.343,1.193,1.146
6665860,K04840.01,CANDIDATE,10.4716194,136.2877,4.512,123.9,1.74,1035.0,5812.0,4.083,1.574,1.095
7983117,K03214.01,CONFIRMED,11.49500229,141.27511,7.602,51.4,1.53,1105.0,6033.0,3.985,1.788,1.127
5480884,K04841.01,FALSE POSITIVE,0.708726708,132.08629,0.753,313.6,0.92,1302.0,4607.0,4.733,0.515,0.522
12506417,K04842.01,FALSE POSITIVE,283.72675,392.671,15.49,84.6,1.18,341.0,6496.0,4.301,1.257,1.153
10187563,K04843.01,FALSE POSITIVE,373.60683,246.5809,8.752,534.8,2.5,271.0,6184.0,4.448,1.038,1.1
5769810,K04913.01,CANDIDATE,6.78788113,136.3345,2.26,73.1,2.44,1679.0,6537.0,3.76,2.829,1.677
12071754,K04914.01,CANDIDATE,5.47455167,133.55529,3.71,73.2,1.4,1155.0,5611.0,4.19,1.312,0.972
10384298,K03224.01,CANDIDATE,3.43861067,132.68641,1.264,46.8,1.01,1348.0,5383.0,4.112,1.401,0.926
3109550,K03225.01,CANDIDATE,4.8754765,133.29167,1.902,39.6,0.8,1180.0,5513.0,4.179,1.286,0.911
5544450,K03226.01,FALSE POSITIVE,4.29388808,133.51002,3.618,110.6,1.68,1532.0,6615.0,4.173,1.574,1.343
9307105,K03304.01,FALSE POSITIVE,13.5437884,135.27623,5.7076,6608.7,32.21,658.0,5463.0,4.582,0.794,0.883
6880517,K03305.01,CONFIRMED,65.6491001,174.79319,7.298,983.9,2.52,390.0,5436.0,4.573,0.819,0.919
6615511,K03306.01,CONFIRMED,25.1593389,153.0404,5.198,358.1,1.76,619.0,5973.0,4.506,0.935,1.024
6131130,K03307.01,CANDIDATE,10.5071781,139.66432,2.68,271.8,1.41,737.0,5290.0,4.46,0.865,0.788
3632089,K03308.01,CONFIRMED,31.7787564,136.76929,8.093,262.0,1.5,564.0,5638.0,4.391,0.928,0.773
4742452,K07704.01,CANDIDATE,5.4398033,135.1594,3.256,85.5,1.0,1112.0,6108.0,4.43,1.08,1.147
9959494,K03205.01,FALSE POSITIVE,1.332568744,132.04697,3.755,24.1,0.58,1941.0,6620.0,4.411,1.081,1.097
8397947,K04772.02,CONFIRMED,9.0194714,139.9234,5.92,191.6,1.07,789.0,5775.0,4.59,0.768,0.838
7906892,K04773.01,CANDIDATE,8.8493948,139.786,6.928,43.8,0.82,978.0,6095.0,4.349,1.11,1.004
4277304,K04774.01,CANDIDATE,51.567801,168.873,5.514,210.1,1.3,433.0,5285.0,4.467,0.876,0.821
8626325,K04775.01,CANDIDATE,16.4491515,145.7441,6.696,70.9,2.75,1036.0,5334.0,3.712,2.789,1.464
3098605,K04844.01,CANDIDATE,0.428046051,131.83682,0.776,126.0,0.87,2017.0,5285.0,4.566,0.775,0.805
11456405,K04845.01,FALSE POSITIVE,0.814278961,131.64806,2.087,72.0,0.76,1762.0,5537.0,4.539,0.886,0.989
8320630,K04846.01,CANDIDATE,19.254536,148.0172,4.754,186.0,1.32,625.0,5668.0,4.545,0.868,0.963
4544684,K04847.01,FALSE POSITIVE,2.1890751,132.09378,2.365,94.8,0.87,1399.0,6077.0,4.526,0.891,0.974
9005321,K04848.01,CANDIDATE,384.6961,365.0874,6.167,787.0,1.78,157.0,4228.0,4.64,0.623,0.618
8975368,K03227.01,FALSE POSITIVE,2.42649862,133.70347,2.014,29.2,0.75,1638.0,6033.0,4.176,1.316,0.948
9291039,K03230.01,FALSE POSITIVE,8.80854183,134.02712,34.7564,174.7,2.69,1000.0,6017.0,4.3,1.21,1.064
5168498,K07719.01,FALSE POSITIVE,219.74735,239.9455,22.48,190.4,3.24,427.0,5127.0,3.602,2.38,0.825
10489539,K03231.01,FALSE POSITIVE,19.7639874,134.17,12.319,51.3,1.19,900.0,6195.0,4.072,1.617,1.127
9569711,K03232.01,CONFIRMED,6.05919881,133.67437,1.365,154.2,1.21,976.0,5734.0,4.462,0.962,0.977
12314973,K00279.03,CONFIRMED,7.5143967,136.1851,4.865,36.3,0.96,1199.0,6206.0,4.159,1.573,1.305
3348082,K01196.03,CONFIRMED,33.1981761,142.09873,4.709,336.7,3.21,678.0,5570.0,4.066,1.548,1.019
